C copy string: rs=cd:ab;a,d,r,s;ac,bc,cr,s; ineq: base19.txt
I    5.00] Elapsed: 5.00, vertices: 175, facets final: 27, pending: 13184, pool: 228
I   10.02] Elapsed: 10.02, vertices: 248, facets final: 68, pending: 18619, pool: 290
I   15.02] Elapsed: 15.02, vertices: 301, facets final: 80, pending: 23543, pool: 297
I   20.10] Elapsed: 20.10, vertices: 347, facets final: 95, pending: 26736, pool: 300
I   25.25] Elapsed: 25.25, vertices: 387, facets final: 103, pending: 30192, pool: 300
I   30.37] Elapsed: 30.37, vertices: 423, facets final: 110, pending: 33625, pool: 300
I   35.37] Elapsed: 35.37, vertices: 455, facets final: 117, pending: 36362, pool: 299
I   40.44] Elapsed: 40.44, vertices: 482, facets final: 127, pending: 37876, pool: 300
I   45.46] Elapsed: 45.46, vertices: 510, facets final: 132, pending: 40073, pool: 300
I   50.67] Elapsed: 50.67, vertices: 540, facets final: 135, pending: 41636, pool: 300
I   55.81] Elapsed: 55.81, vertices: 564, facets final: 145, pending: 43001, pool: 299
I   60.94] Elapsed: 1:01, vertices: 589, facets final: 150, pending: 44223, pool: 300
I   66.06] Elapsed: 1:06, vertices: 614, facets final: 152, pending: 46155, pool: 299
I   71.06] Elapsed: 1:11, vertices: 635, facets final: 160, pending: 47151, pool: 299
I   76.09] Elapsed: 1:16, vertices: 657, facets final: 167, pending: 48321, pool: 298
I   81.26] Elapsed: 1:21, vertices: 677, facets final: 172, pending: 49796, pool: 299
I   86.39] Elapsed: 1:26, vertices: 697, facets final: 181, pending: 51069, pool: 300
I   91.41] Elapsed: 1:31, vertices: 715, facets final: 186, pending: 52622, pool: 300
I   96.55] Elapsed: 1:37, vertices: 734, facets final: 193, pending: 53784, pool: 300
I  101.81] Elapsed: 1:42, vertices: 755, facets final: 194, pending: 54758, pool: 300
I  106.84] Elapsed: 1:47, vertices: 775, facets final: 197, pending: 55486, pool: 300
I  112.13] Elapsed: 1:52, vertices: 793, facets final: 198, pending: 56226, pool: 300
I  117.20] Elapsed: 1:57, vertices: 808, facets final: 201, pending: 56705, pool: 300
I  122.42] Elapsed: 2:02, vertices: 823, facets final: 204, pending: 56796, pool: 300
I  127.58] Elapsed: 2:08, vertices: 841, facets final: 214, pending: 57396, pool: 300
I  132.60] Elapsed: 2:13, vertices: 858, facets final: 225, pending: 56936, pool: 299
I  137.69] Elapsed: 2:18, vertices: 875, facets final: 230, pending: 57152, pool: 300
I  142.89] Elapsed: 2:23, vertices: 893, facets final: 239, pending: 57525, pool: 299
I  148.07] Elapsed: 2:28, vertices: 909, facets final: 250, pending: 56863, pool: 300
I  153.17] Elapsed: 2:33, vertices: 926, facets final: 260, pending: 56003, pool: 300
I  158.18] Elapsed: 2:38, vertices: 945, facets final: 268, pending: 56259, pool: 300
I  163.39] Elapsed: 2:43, vertices: 964, facets final: 278, pending: 55966, pool: 300
I  168.44] Elapsed: 2:48, vertices: 982, facets final: 286, pending: 55591, pool: 300
I  173.69] Elapsed: 2:54, vertices: 1001, facets final: 300, pending: 55424, pool: 300
I  178.74] Elapsed: 2:59, vertices: 1021, facets final: 312, pending: 56093, pool: 300
I  183.84] Elapsed: 3:04, vertices: 1039, facets final: 317, pending: 56086, pool: 300
I  189.06] Elapsed: 3:09, vertices: 1057, facets final: 324, pending: 55934, pool: 300
I  194.32] Elapsed: 3:14, vertices: 1076, facets final: 331, pending: 55334, pool: 300
I  199.52] Elapsed: 3:20, vertices: 1095, facets final: 339, pending: 55729, pool: 300
I  204.70] Elapsed: 3:25, vertices: 1115, facets final: 349, pending: 56311, pool: 299
I  209.73] Elapsed: 3:30, vertices: 1133, facets final: 362, pending: 56015, pool: 299
I  214.90] Elapsed: 3:35, vertices: 1151, facets final: 370, pending: 55142, pool: 300
I  220.05] Elapsed: 3:40, vertices: 1170, facets final: 381, pending: 55363, pool: 300
I  225.06] Elapsed: 3:45, vertices: 1188, facets final: 389, pending: 55332, pool: 299
I  230.08] Elapsed: 3:50, vertices: 1208, facets final: 401, pending: 54935, pool: 300
I  235.16] Elapsed: 3:55, vertices: 1228, facets final: 405, pending: 54832, pool: 299
I  240.27] Elapsed: 4:00, vertices: 1248, facets final: 420, pending: 54822, pool: 300
I  245.40] Elapsed: 4:05, vertices: 1269, facets final: 427, pending: 54572, pool: 300
I  250.53] Elapsed: 4:11, vertices: 1288, facets final: 440, pending: 53707, pool: 300
I  255.66] Elapsed: 4:16, vertices: 1307, facets final: 450, pending: 53501, pool: 300
I  260.70] Elapsed: 4:21, vertices: 1328, facets final: 461, pending: 52914, pool: 300
