C copy string: r=c:ab;ar,br,cr,dr;a,b,c,dr; ineq: base19.txt
I    5.02] Elapsed: 5.02, vertices: 228, facets final: 68, pending: 10180, pool: 242
I   10.07] Elapsed: 10.07, vertices: 333, facets final: 105, pending: 14037, pool: 298
I   15.12] Elapsed: 15.12, vertices: 417, facets final: 125, pending: 16742, pool: 300
I   20.12] Elapsed: 20.12, vertices: 488, facets final: 136, pending: 19234, pool: 297
I   25.13] Elapsed: 25.13, vertices: 550, facets final: 150, pending: 21860, pool: 300
I   30.17] Elapsed: 30.17, vertices: 604, facets final: 156, pending: 24628, pool: 300
I   35.20] Elapsed: 35.20, vertices: 653, facets final: 166, pending: 25997, pool: 300
I   40.22] Elapsed: 40.22, vertices: 701, facets final: 178, pending: 27233, pool: 300
I   45.23] Elapsed: 45.23, vertices: 747, facets final: 186, pending: 28988, pool: 298
I   50.25] Elapsed: 50.25, vertices: 787, facets final: 197, pending: 30015, pool: 300
I   55.29] Elapsed: 55.29, vertices: 827, facets final: 206, pending: 31127, pool: 299
I   60.36] Elapsed: 1:00, vertices: 867, facets final: 213, pending: 32283, pool: 300
I   65.47] Elapsed: 1:05, vertices: 903, facets final: 221, pending: 33396, pool: 300
I   70.51] Elapsed: 1:11, vertices: 938, facets final: 234, pending: 33509, pool: 300
I   75.58] Elapsed: 1:16, vertices: 973, facets final: 242, pending: 34028, pool: 299
I   80.67] Elapsed: 1:21, vertices: 1008, facets final: 253, pending: 35452, pool: 300
I   85.69] Elapsed: 1:26, vertices: 1041, facets final: 258, pending: 36118, pool: 300
I   90.77] Elapsed: 1:31, vertices: 1072, facets final: 272, pending: 36373, pool: 299
I   95.84] Elapsed: 1:36, vertices: 1101, facets final: 276, pending: 37513, pool: 300
I  100.96] Elapsed: 1:41, vertices: 1133, facets final: 286, pending: 38058, pool: 299
I  105.96] Elapsed: 1:46, vertices: 1162, facets final: 293, pending: 38274, pool: 299
I  111.01] Elapsed: 1:51, vertices: 1192, facets final: 301, pending: 38488, pool: 299
I  116.09] Elapsed: 1:56, vertices: 1220, facets final: 310, pending: 38726, pool: 300
I  121.28] Elapsed: 2:01, vertices: 1251, facets final: 316, pending: 39108, pool: 300
I  126.34] Elapsed: 2:06, vertices: 1281, facets final: 331, pending: 39182, pool: 300
I  131.51] Elapsed: 2:12, vertices: 1311, facets final: 345, pending: 39625, pool: 300
I  136.52] Elapsed: 2:17, vertices: 1341, facets final: 357, pending: 39874, pool: 300
I  141.61] Elapsed: 2:22, vertices: 1372, facets final: 367, pending: 40337, pool: 300
I  146.65] Elapsed: 2:27, vertices: 1402, facets final: 373, pending: 40642, pool: 299
I  151.70] Elapsed: 2:32, vertices: 1432, facets final: 381, pending: 40794, pool: 300
I  156.70] Elapsed: 2:37, vertices: 1461, facets final: 392, pending: 40825, pool: 300
I  161.80] Elapsed: 2:42, vertices: 1490, facets final: 402, pending: 40430, pool: 300
I  166.87] Elapsed: 2:47, vertices: 1520, facets final: 411, pending: 40613, pool: 300
I  171.87] Elapsed: 2:52, vertices: 1550, facets final: 424, pending: 40748, pool: 300
I  176.96] Elapsed: 2:57, vertices: 1580, facets final: 432, pending: 41013, pool: 300
I  182.05] Elapsed: 3:02, vertices: 1608, facets final: 440, pending: 41188, pool: 300
I  187.05] Elapsed: 3:07, vertices: 1636, facets final: 450, pending: 41244, pool: 300
I  192.18] Elapsed: 3:12, vertices: 1666, facets final: 468, pending: 41393, pool: 300
I  197.20] Elapsed: 3:17, vertices: 1693, facets final: 476, pending: 41239, pool: 299
I  202.20] Elapsed: 3:22, vertices: 1719, facets final: 494, pending: 41638, pool: 300
I  207.31] Elapsed: 3:27, vertices: 1747, facets final: 497, pending: 41744, pool: 300
I  212.39] Elapsed: 3:32, vertices: 1774, facets final: 507, pending: 41858, pool: 300
I  217.40] Elapsed: 3:37, vertices: 1802, facets final: 521, pending: 41914, pool: 300
I  222.48] Elapsed: 3:42, vertices: 1831, facets final: 547, pending: 42340, pool: 300
I  227.50] Elapsed: 3:48, vertices: 1857, facets final: 559, pending: 42423, pool: 300
