C copy string: r=a:bc;s=a:bdr;ars,brs,crs,drs; ineq: base19.txt
I    5.05] Elapsed: 5.05, vertices: 124, facets final: 23, pending: 16843, pool: 180
I   10.11] Elapsed: 10.11, vertices: 161, facets final: 29, pending: 21845, pool: 229
I   15.25] Elapsed: 15.25, vertices: 191, facets final: 35, pending: 25981, pool: 257
I   20.32] Elapsed: 20.32, vertices: 218, facets final: 38, pending: 29097, pool: 270
I   25.42] Elapsed: 25.42, vertices: 244, facets final: 43, pending: 29657, pool: 284
I   30.46] Elapsed: 30.46, vertices: 265, facets final: 47, pending: 31148, pool: 295
I   35.64] Elapsed: 35.64, vertices: 289, facets final: 48, pending: 33025, pool: 297
I   40.77] Elapsed: 40.77, vertices: 311, facets final: 51, pending: 34404, pool: 300
I   45.84] Elapsed: 45.84, vertices: 333, facets final: 54, pending: 35120, pool: 299
I   50.88] Elapsed: 50.88, vertices: 354, facets final: 55, pending: 38296, pool: 298
I   55.92] Elapsed: 55.92, vertices: 374, facets final: 57, pending: 38453, pool: 300
I   61.11] Elapsed: 1:01, vertices: 392, facets final: 59, pending: 40383, pool: 300
I   66.17] Elapsed: 1:06, vertices: 410, facets final: 62, pending: 40554, pool: 299
I   71.32] Elapsed: 1:11, vertices: 429, facets final: 64, pending: 40315, pool: 300
I   76.49] Elapsed: 1:16, vertices: 448, facets final: 66, pending: 41040, pool: 299
I   81.72] Elapsed: 1:22, vertices: 468, facets final: 67, pending: 41530, pool: 300
I   86.83] Elapsed: 1:27, vertices: 486, facets final: 73, pending: 41877, pool: 300
I   92.08] Elapsed: 1:32, vertices: 506, facets final: 76, pending: 42503, pool: 295
I   97.28] Elapsed: 1:37, vertices: 525, facets final: 76, pending: 41923, pool: 300
I  102.35] Elapsed: 1:42, vertices: 542, facets final: 76, pending: 42939, pool: 300
I  107.48] Elapsed: 1:47, vertices: 561, facets final: 80, pending: 42760, pool: 300
I  112.78] Elapsed: 1:53, vertices: 581, facets final: 81, pending: 43062, pool: 299
