C copy string: r=c:ab;ar,br,c,dr;ar,br,cr,d; ineq: base19.txt
I    5.00] Elapsed: 5.00, vertices: 230, facets final: 27, pending: 10662, pool: 286
I   10.03] Elapsed: 10.03, vertices: 328, facets final: 45, pending: 14555, pool: 300
I   15.03] Elapsed: 15.03, vertices: 414, facets final: 54, pending: 16979, pool: 300
I   20.08] Elapsed: 20.08, vertices: 488, facets final: 65, pending: 20819, pool: 300
I   25.13] Elapsed: 25.13, vertices: 550, facets final: 77, pending: 23469, pool: 299
I   30.18] Elapsed: 30.18, vertices: 607, facets final: 83, pending: 25377, pool: 300
I   35.21] Elapsed: 35.21, vertices: 659, facets final: 100, pending: 26755, pool: 300
I   40.26] Elapsed: 40.26, vertices: 708, facets final: 124, pending: 28415, pool: 298
I   45.34] Elapsed: 45.34, vertices: 755, facets final: 131, pending: 29255, pool: 300
I   50.34] Elapsed: 50.34, vertices: 799, facets final: 144, pending: 30259, pool: 300
I   55.41] Elapsed: 55.41, vertices: 844, facets final: 164, pending: 30786, pool: 299
I   60.48] Elapsed: 1:00, vertices: 888, facets final: 181, pending: 31302, pool: 300
I   65.49] Elapsed: 1:05, vertices: 931, facets final: 190, pending: 32211, pool: 300
I   70.49] Elapsed: 1:10, vertices: 973, facets final: 203, pending: 33204, pool: 300
I   75.56] Elapsed: 1:16, vertices: 1014, facets final: 214, pending: 34168, pool: 299
I   80.59] Elapsed: 1:21, vertices: 1049, facets final: 218, pending: 34225, pool: 300
I   85.59] Elapsed: 1:26, vertices: 1084, facets final: 223, pending: 34725, pool: 300
I   90.75] Elapsed: 1:31, vertices: 1119, facets final: 235, pending: 35014, pool: 300
I   95.86] Elapsed: 1:36, vertices: 1156, facets final: 248, pending: 35348, pool: 299
I  100.86] Elapsed: 1:41, vertices: 1193, facets final: 254, pending: 35868, pool: 300
I  105.91] Elapsed: 1:46, vertices: 1230, facets final: 279, pending: 36078, pool: 300
I  111.03] Elapsed: 1:51, vertices: 1268, facets final: 289, pending: 36293, pool: 300
I  116.14] Elapsed: 1:56, vertices: 1304, facets final: 304, pending: 36572, pool: 300
I  121.22] Elapsed: 2:01, vertices: 1339, facets final: 316, pending: 37009, pool: 300
I  126.28] Elapsed: 2:06, vertices: 1373, facets final: 327, pending: 37257, pool: 300
I  131.35] Elapsed: 2:11, vertices: 1408, facets final: 342, pending: 37125, pool: 300
I  136.41] Elapsed: 2:16, vertices: 1443, facets final: 355, pending: 37434, pool: 300
I  141.47] Elapsed: 2:21, vertices: 1478, facets final: 367, pending: 37932, pool: 300
I  146.48] Elapsed: 2:26, vertices: 1513, facets final: 379, pending: 38313, pool: 300
I  151.51] Elapsed: 2:32, vertices: 1547, facets final: 395, pending: 38310, pool: 300
I  156.58] Elapsed: 2:37, vertices: 1581, facets final: 410, pending: 38436, pool: 300
I  161.66] Elapsed: 2:42, vertices: 1613, facets final: 423, pending: 39091, pool: 300
I  166.66] Elapsed: 2:47, vertices: 1647, facets final: 446, pending: 39546, pool: 300
I  171.71] Elapsed: 2:52, vertices: 1679, facets final: 458, pending: 39418, pool: 300
I  176.78] Elapsed: 2:57, vertices: 1710, facets final: 475, pending: 39602, pool: 300
I  181.82] Elapsed: 3:02, vertices: 1744, facets final: 490, pending: 39642, pool: 300
I  186.93] Elapsed: 3:07, vertices: 1778, facets final: 504, pending: 40180, pool: 300
I  191.99] Elapsed: 3:12, vertices: 1810, facets final: 514, pending: 39994, pool: 300
I  197.06] Elapsed: 3:17, vertices: 1842, facets final: 527, pending: 40369, pool: 300
I  202.13] Elapsed: 3:22, vertices: 1874, facets final: 533, pending: 40422, pool: 298
I  207.20] Elapsed: 3:27, vertices: 1904, facets final: 551, pending: 40618, pool: 300
I  212.27] Elapsed: 3:32, vertices: 1934, facets final: 568, pending: 40155, pool: 300
I  217.32] Elapsed: 3:37, vertices: 1965, facets final: 572, pending: 40564, pool: 300
I  222.44] Elapsed: 3:42, vertices: 1999, facets final: 592, pending: 40669, pool: 300
I  227.62] Elapsed: 3:48, vertices: 2031, facets final: 606, pending: 40805, pool: 300
I  232.71] Elapsed: 3:53, vertices: 2061, facets final: 620, pending: 40419, pool: 300
I  237.79] Elapsed: 3:58, vertices: 2093, facets final: 634, pending: 40336, pool: 299
I  242.79] Elapsed: 4:03, vertices: 2123, facets final: 649, pending: 40313, pool: 300
I  247.86] Elapsed: 4:08, vertices: 2156, facets final: 663, pending: 39906, pool: 300
I  253.00] Elapsed: 4:13, vertices: 2187, facets final: 687, pending: 39801, pool: 300
I  258.09] Elapsed: 4:18, vertices: 2218, facets final: 705, pending: 39802, pool: 300
