C copy string: rs=cd:ab;ad,bd,dr,ds;ac,bc,cr,cs; ineq: base19.txt
I    5.00] Elapsed: 5.00, vertices: 163, facets final: 9, pending: 14525, pool: 297
I   10.00] Elapsed: 10.00, vertices: 232, facets final: 18, pending: 19683, pool: 300
I   15.05] Elapsed: 15.05, vertices: 287, facets final: 25, pending: 22783, pool: 299
I   20.10] Elapsed: 20.10, vertices: 334, facets final: 36, pending: 27104, pool: 300
I   25.13] Elapsed: 25.13, vertices: 374, facets final: 49, pending: 31205, pool: 298
I   30.13] Elapsed: 30.13, vertices: 409, facets final: 58, pending: 32611, pool: 300
I   35.15] Elapsed: 35.15, vertices: 442, facets final: 66, pending: 35905, pool: 300
I   40.23] Elapsed: 40.23, vertices: 473, facets final: 71, pending: 39116, pool: 300
I   45.35] Elapsed: 45.35, vertices: 504, facets final: 75, pending: 41259, pool: 300
I   50.39] Elapsed: 50.39, vertices: 532, facets final: 76, pending: 44170, pool: 300
I   55.46] Elapsed: 55.46, vertices: 559, facets final: 82, pending: 45237, pool: 300
I   60.59] Elapsed: 1:01, vertices: 585, facets final: 85, pending: 46869, pool: 300
I   65.74] Elapsed: 1:06, vertices: 610, facets final: 88, pending: 48863, pool: 300
I   70.74] Elapsed: 1:11, vertices: 633, facets final: 90, pending: 50891, pool: 300
I   75.88] Elapsed: 1:16, vertices: 657, facets final: 92, pending: 52775, pool: 300
I   81.01] Elapsed: 1:21, vertices: 678, facets final: 98, pending: 55243, pool: 300
I   86.34] Elapsed: 1:26, vertices: 697, facets final: 98, pending: 56957, pool: 300
I   91.55] Elapsed: 1:32, vertices: 718, facets final: 100, pending: 58682, pool: 300
I   96.66] Elapsed: 1:37, vertices: 737, facets final: 104, pending: 60574, pool: 300
I  101.86] Elapsed: 1:42, vertices: 754, facets final: 105, pending: 62499, pool: 300
I  106.86] Elapsed: 1:47, vertices: 770, facets final: 109, pending: 63552, pool: 300
I  111.95] Elapsed: 1:52, vertices: 789, facets final: 112, pending: 64996, pool: 300
I  117.03] Elapsed: 1:57, vertices: 806, facets final: 117, pending: 66163, pool: 300
I  122.23] Elapsed: 2:02, vertices: 823, facets final: 120, pending: 67358, pool: 300
I  127.78] Elapsed: 2:08, vertices: 840, facets final: 126, pending: 68289, pool: 300
I  133.03] Elapsed: 2:13, vertices: 854, facets final: 129, pending: 70413, pool: 300
I  138.19] Elapsed: 2:18, vertices: 870, facets final: 132, pending: 71395, pool: 300
I  143.22] Elapsed: 2:23, vertices: 885, facets final: 135, pending: 72203, pool: 300
I  148.26] Elapsed: 2:28, vertices: 900, facets final: 137, pending: 73264, pool: 300
I  153.50] Elapsed: 2:34, vertices: 916, facets final: 140, pending: 74016, pool: 300
I  159.25] Elapsed: 2:39, vertices: 931, facets final: 141, pending: 74578, pool: 300
I  164.26] Elapsed: 2:44, vertices: 943, facets final: 143, pending: 75477, pool: 300
I  169.53] Elapsed: 2:50, vertices: 957, facets final: 145, pending: 76781, pool: 299
I  174.79] Elapsed: 2:55, vertices: 972, facets final: 147, pending: 77973, pool: 300
I  180.17] Elapsed: 3:00, vertices: 986, facets final: 148, pending: 79212, pool: 300
I  185.50] Elapsed: 3:06, vertices: 999, facets final: 150, pending: 80395, pool: 300
I  191.39] Elapsed: 3:11, vertices: 1010, facets final: 150, pending: 80105, pool: 300
I  196.53] Elapsed: 3:17, vertices: 1020, facets final: 151, pending: 80760, pool: 300
I  201.53] Elapsed: 3:22, vertices: 1032, facets final: 155, pending: 81638, pool: 299
I  206.71] Elapsed: 3:27, vertices: 1042, facets final: 158, pending: 82662, pool: 300
I  211.76] Elapsed: 3:32, vertices: 1051, facets final: 159, pending: 83501, pool: 300
I  216.82] Elapsed: 3:37, vertices: 1063, facets final: 160, pending: 84078, pool: 300
I  221.82] Elapsed: 3:42, vertices: 1074, facets final: 160, pending: 85378, pool: 300
I  227.21] Elapsed: 3:47, vertices: 1086, facets final: 161, pending: 86153, pool: 300
I  232.34] Elapsed: 3:52, vertices: 1098, facets final: 162, pending: 86570, pool: 300
I  237.80] Elapsed: 3:58, vertices: 1109, facets final: 162, pending: 86970, pool: 300
I  243.33] Elapsed: 4:03, vertices: 1120, facets final: 163, pending: 87945, pool: 300
I  248.61] Elapsed: 4:09, vertices: 1130, facets final: 164, pending: 88679, pool: 300
I  254.02] Elapsed: 4:14, vertices: 1140, facets final: 165, pending: 89142, pool: 299
I  259.22] Elapsed: 4:19, vertices: 1150, facets final: 166, pending: 90038, pool: 300
I  264.73] Elapsed: 4:25, vertices: 1161, facets final: 169, pending: 90234, pool: 300
I  270.29] Elapsed: 4:30, vertices: 1171, facets final: 170, pending: 90671, pool: 300
I  275.47] Elapsed: 4:35, vertices: 1180, facets final: 172, pending: 91673, pool: 300
I  280.62] Elapsed: 4:41, vertices: 1189, facets final: 176, pending: 92368, pool: 300
I  285.65] Elapsed: 4:46, vertices: 1197, facets final: 180, pending: 92812, pool: 300
I  290.94] Elapsed: 4:51, vertices: 1207, facets final: 181, pending: 93437, pool: 299
I  296.00] Elapsed: 4:56, vertices: 1218, facets final: 181, pending: 94197, pool: 300
I  301.05] Elapsed: 5:01, vertices: 1228, facets final: 181, pending: 94558, pool: 299
I  306.21] Elapsed: 5:06, vertices: 1238, facets final: 184, pending: 95183, pool: 299
I  311.82] Elapsed: 5:12, vertices: 1248, facets final: 188, pending: 95827, pool: 300
I  317.37] Elapsed: 5:17, vertices: 1258, facets final: 191, pending: 96512, pool: 300
I  322.85] Elapsed: 5:23, vertices: 1268, facets final: 192, pending: 96184, pool: 300
I  327.91] Elapsed: 5:28, vertices: 1279, facets final: 193, pending: 97158, pool: 300
I  333.17] Elapsed: 5:33, vertices: 1289, facets final: 195, pending: 97548, pool: 300
I  338.21] Elapsed: 5:38, vertices: 1299, facets final: 195, pending: 97769, pool: 299
I  343.68] Elapsed: 5:44, vertices: 1307, facets final: 198, pending: 98153, pool: 300
I  349.04] Elapsed: 5:49, vertices: 1317, facets final: 199, pending: 98734, pool: 300
I  354.14] Elapsed: 5:54, vertices: 1326, facets final: 200, pending: 98914, pool: 300
I  359.82] Elapsed: 6:00, vertices: 1336, facets final: 201, pending: 100085, pool: 300
I  364.89] Elapsed: 6:05, vertices: 1345, facets final: 202, pending: 100802, pool: 300
I  370.18] Elapsed: 6:10, vertices: 1354, facets final: 204, pending: 101769, pool: 300
I  375.34] Elapsed: 6:15, vertices: 1364, facets final: 204, pending: 102254, pool: 299
I  380.37] Elapsed: 6:20, vertices: 1372, facets final: 204, pending: 103151, pool: 300
I  385.98] Elapsed: 6:26, vertices: 1380, facets final: 204, pending: 103875, pool: 300
I  391.20] Elapsed: 6:31, vertices: 1389, facets final: 206, pending: 104557, pool: 300
I  396.63] Elapsed: 6:37, vertices: 1399, facets final: 206, pending: 104987, pool: 300
I  402.01] Elapsed: 6:42, vertices: 1408, facets final: 208, pending: 105715, pool: 300
I  407.64] Elapsed: 6:48, vertices: 1418, facets final: 212, pending: 106825, pool: 300
I  413.16] Elapsed: 6:53, vertices: 1427, facets final: 216, pending: 107270, pool: 300
I  418.40] Elapsed: 6:58, vertices: 1434, facets final: 219, pending: 108326, pool: 300
I  423.82] Elapsed: 7:04, vertices: 1443, facets final: 221, pending: 108783, pool: 300
I  429.40] Elapsed: 7:09, vertices: 1452, facets final: 223, pending: 109935, pool: 300
I  434.56] Elapsed: 7:15, vertices: 1461, facets final: 223, pending: 110303, pool: 300
I  440.16] Elapsed: 7:20, vertices: 1470, facets final: 224, pending: 110752, pool: 300
I  445.30] Elapsed: 7:25, vertices: 1478, facets final: 225, pending: 111230, pool: 300
I  450.30] Elapsed: 7:30, vertices: 1487, facets final: 228, pending: 111431, pool: 300
I  455.49] Elapsed: 7:35, vertices: 1497, facets final: 228, pending: 111930, pool: 300
I  460.60] Elapsed: 7:41, vertices: 1505, facets final: 231, pending: 112548, pool: 300
