C maximal rule for r=c:ab;s=b:adr; rs,br,cr,dr
I 2134.30] Elapsed: 35:34, vertices: 365, facets final: 53971, pending: 112344, pool: 51
I 2172.78] Elapsed: 36:13, vertices: 366, facets final: 54005, pending: 104289, pool: 52
I 2211.95] Elapsed: 36:52, vertices: 367, facets final: 54038, pending: 98097, pool: 53
I 2247.65] Elapsed: 37:28, vertices: 368, facets final: 54083, pending: 98384, pool: 52
I 2273.56] Elapsed: 37:54, vertices: 369, facets final: 54145, pending: 93182, pool: 53
I 2310.38] Elapsed: 38:30, vertices: 370, facets final: 54209, pending: 94294, pool: 52
I 2369.01] Elapsed: 39:29, vertices: 371, facets final: 54274, pending: 99631, pool: 52
I 2429.16] Elapsed: 40:29, vertices: 372, facets final: 54329, pending: 99199, pool: 52
I 2571.12] Elapsed: 42:51, vertices: 373, facets final: 54381, pending: 117662, pool: 55
I 2654.38] Elapsed: 44:14, vertices: 374, facets final: 54413, pending: 113914, pool: 55
I 2814.47] Elapsed: 46:54, vertices: 375, facets final: 54446, pending: 141159, pool: 56
I 3081.08] Elapsed: 51:21, vertices: 376, facets final: 54463, pending: 142143, pool: 58
I 3242.49] Elapsed: 54:02, vertices: 377, facets final: 54472, pending: 137214, pool: 59
I 3331.63] Elapsed: 55:32, vertices: 378, facets final: 54499, pending: 134532, pool: 60
I 3439.41] Elapsed: 57:19, vertices: 379, facets final: 54518, pending: 136773, pool: 64
I 3511.91] Elapsed: 58:32, vertices: 380, facets final: 54544, pending: 131550, pool: 63
I 3594.63] Elapsed: 59:55, vertices: 381, facets final: 54575, pending: 135187, pool: 62
I 3654.87] Elapsed: 1:00:55, vertices: 382, facets final: 54597, pending: 133687, pool: 62
I 3770.69] Elapsed: 1:02:51, vertices: 383, facets final: 54621, pending: 140699, pool: 61
I 3843.23] Elapsed: 1:04:03, vertices: 384, facets final: 54648, pending: 150611, pool: 60
I 3969.46] Elapsed: 1:06:09, vertices: 385, facets final: 54666, pending: 152794, pool: 59
I 4027.00] Elapsed: 1:07:07, vertices: 386, facets final: 54678, pending: 145429, pool: 58
I 4073.91] Elapsed: 1:07:54, vertices: 387, facets final: 54695, pending: 136998, pool: 57
I 4118.56] Elapsed: 1:08:39, vertices: 388, facets final: 54716, pending: 130689, pool: 57
I 4163.92] Elapsed: 1:09:24, vertices: 389, facets final: 54742, pending: 123372, pool: 57
I 4236.56] Elapsed: 1:10:37, vertices: 390, facets final: 54781, pending: 126450, pool: 57
I 4315.48] Elapsed: 1:11:55, vertices: 391, facets final: 54801, pending: 126148, pool: 57
I 4358.72] Elapsed: 1:12:39, vertices: 392, facets final: 54841, pending: 131928, pool: 56
I 4402.32] Elapsed: 1:13:22, vertices: 393, facets final: 54861, pending: 125353, pool: 55
I 4465.23] Elapsed: 1:14:25, vertices: 394, facets final: 54889, pending: 128334, pool: 54
I 4530.09] Elapsed: 1:15:30, vertices: 395, facets final: 54923, pending: 134454, pool: 54
I 4602.30] Elapsed: 1:16:42, vertices: 396, facets final: 54955, pending: 131181, pool: 53
I 4635.90] Elapsed: 1:17:16, vertices: 397, facets final: 54981, pending: 131773, pool: 52
I 4667.99] Elapsed: 1:17:48, vertices: 398, facets final: 55023, pending: 130247, pool: 53
I 4702.12] Elapsed: 1:18:22, vertices: 399, facets final: 55049, pending: 126253, pool: 52
I 4734.96] Elapsed: 1:18:55, vertices: 400, facets final: 55062, pending: 124468, pool: 51
I 4735.20] recalculating facets...
I 4770.86] Elapsed: 1:19:31, vertices: 401, facets final: 55095, pending: 123195, pool: 51
I 4795.85] Elapsed: 1:19:56, vertices: 402, facets final: 55114, pending: 118972, pool: 50
I 4816.67] Elapsed: 1:20:17, vertices: 403, facets final: 55176, pending: 114550, pool: 50
I 4836.86] Elapsed: 1:20:37, vertices: 404, facets final: 55205, pending: 111905, pool: 49
I 4861.02] Elapsed: 1:21:01, vertices: 405, facets final: 55254, pending: 113169, pool: 48
I 4880.18] Elapsed: 1:21:20, vertices: 406, facets final: 55297, pending: 109610, pool: 47
I 4897.45] Elapsed: 1:21:37, vertices: 407, facets final: 55365, pending: 107130, pool: 46
I 4912.80] Elapsed: 1:21:53, vertices: 408, facets final: 55433, pending: 104525, pool: 46
I 4933.71] Elapsed: 1:22:14, vertices: 409, facets final: 55463, pending: 102953, pool: 45
I 4946.19] Elapsed: 1:22:26, vertices: 410, facets final: 55504, pending: 100096, pool: 44
I 4957.43] Elapsed: 1:22:37, vertices: 411, facets final: 55565, pending: 98267, pool: 43
I 4972.20] Elapsed: 1:22:52, vertices: 412, facets final: 55593, pending: 96798, pool: 42
I 4986.17] Elapsed: 1:23:06, vertices: 413, facets final: 55629, pending: 95690, pool: 41
I 4994.16] Elapsed: 1:23:14, vertices: 414, facets final: 55667, pending: 93912, pool: 40
I 5012.98] Elapsed: 1:23:33, vertices: 415, facets final: 55733, pending: 96132, pool: 39
I 5024.72] Elapsed: 1:23:45, vertices: 416, facets final: 55788, pending: 94861, pool: 39
I 5034.38] Elapsed: 1:23:54, vertices: 417, facets final: 55875, pending: 93210, pool: 38
I 5042.62] Elapsed: 1:24:03, vertices: 418, facets final: 55970, pending: 91217, pool: 37
I 5053.24] Elapsed: 1:24:13, vertices: 419, facets final: 56081, pending: 91524, pool: 36
I 5063.07] Elapsed: 1:24:23, vertices: 420, facets final: 56168, pending: 91009, pool: 35
I 5071.64] Elapsed: 1:24:32, vertices: 421, facets final: 56266, pending: 89863, pool: 34
I 5078.51] Elapsed: 1:24:39, vertices: 422, facets final: 56398, pending: 89107, pool: 33
I 5085.78] Elapsed: 1:24:46, vertices: 423, facets final: 56513, pending: 87394, pool: 32
I 5104.24] Elapsed: 1:25:04, vertices: 424, facets final: 56664, pending: 87862, pool: 31
I 5113.70] Elapsed: 1:25:14, vertices: 425, facets final: 56812, pending: 85878, pool: 30
I 5120.91] Elapsed: 1:25:21, vertices: 426, facets final: 56920, pending: 84456, pool: 29
I 5133.10] Elapsed: 1:25:33, vertices: 427, facets final: 57038, pending: 83962, pool: 28
I 5140.71] Elapsed: 1:25:41, vertices: 428, facets final: 57120, pending: 83328, pool: 27
I 5148.95] Elapsed: 1:25:49, vertices: 430, facets final: 57308, pending: 81828, pool: 25
I 5160.65] Elapsed: 1:26:01, vertices: 432, facets final: 57584, pending: 80447, pool: 24
I 5169.68] Elapsed: 1:26:10, vertices: 433, facets final: 57762, pending: 80131, pool: 23
I 5174.99] Elapsed: 1:26:15, vertices: 435, facets final: 58006, pending: 78787, pool: 21
I 5182.88] Elapsed: 1:26:23, vertices: 436, facets final: 58116, pending: 79003, pool: 20
I 5188.92] Elapsed: 1:26:29, vertices: 438, facets final: 58377, pending: 77718, pool: 18
I 5195.99] Elapsed: 1:26:36, vertices: 441, facets final: 58831, pending: 76316, pool: 15
I 5201.71] Elapsed: 1:26:42, vertices: 443, facets final: 60458, pending: 74109, pool: 13
I 5207.46] Elapsed: 1:26:47, vertices: 446, facets final: 64611, pending: 69592, pool: 11
I 5212.46] Elapsed: 1:26:52, vertices: 448, facets final: 73089, pending: 60906, pool: 9
I 5217.46] Elapsed: 1:26:57, vertices: 450, facets final: 82899, pending: 50852, pool: 7
