C applying rule 05.txt for base.txt
Using 2 threads
I    5.04] Elapsed: 5.04, vertices: 155, facets final: 26, pending: 17627, pool: 100
I   10.08] Elapsed: 10.08, vertices: 219, facets final: 33, pending: 23095, pool: 99
I   15.09] Elapsed: 15.09, vertices: 278, facets final: 39, pending: 27707, pool: 100
I   20.13] Elapsed: 20.13, vertices: 328, facets final: 45, pending: 31235, pool: 100
I   25.32] Elapsed: 25.32, vertices: 370, facets final: 51, pending: 34713, pool: 100
I   30.46] Elapsed: 30.46, vertices: 410, facets final: 55, pending: 35112, pool: 100
I   35.50] Elapsed: 35.50, vertices: 458, facets final: 59, pending: 37087, pool: 100
I   40.70] Elapsed: 40.70, vertices: 498, facets final: 66, pending: 37642, pool: 100
I   45.78] Elapsed: 45.78, vertices: 535, facets final: 76, pending: 40611, pool: 100
I   50.85] Elapsed: 50.85, vertices: 576, facets final: 88, pending: 42812, pool: 98
I   55.92] Elapsed: 55.92, vertices: 612, facets final: 95, pending: 43449, pool: 100
I   60.99] Elapsed: 1:01, vertices: 647, facets final: 102, pending: 45098, pool: 100
I   66.07] Elapsed: 1:06, vertices: 677, facets final: 105, pending: 45637, pool: 100
I   71.24] Elapsed: 1:11, vertices: 709, facets final: 110, pending: 46070, pool: 100
I   76.39] Elapsed: 1:16, vertices: 741, facets final: 116, pending: 47712, pool: 100
I   81.50] Elapsed: 1:22, vertices: 772, facets final: 123, pending: 48165, pool: 100
I   86.64] Elapsed: 1:27, vertices: 804, facets final: 136, pending: 49484, pool: 100
I   92.08] Elapsed: 1:32, vertices: 831, facets final: 140, pending: 50333, pool: 100
I   97.08] Elapsed: 1:37, vertices: 854, facets final: 141, pending: 51481, pool: 100
I  102.09] Elapsed: 1:42, vertices: 882, facets final: 151, pending: 51920, pool: 100
I  107.19] Elapsed: 1:47, vertices: 904, facets final: 157, pending: 53997, pool: 100
I  112.42] Elapsed: 1:52, vertices: 930, facets final: 164, pending: 54100, pool: 100
I  117.68] Elapsed: 1:58, vertices: 956, facets final: 167, pending: 55737, pool: 100
I  123.05] Elapsed: 2:03, vertices: 983, facets final: 172, pending: 56126, pool: 100
I  128.11] Elapsed: 2:08, vertices: 1011, facets final: 185, pending: 56230, pool: 100
I  133.17] Elapsed: 2:13, vertices: 1035, facets final: 190, pending: 56924, pool: 100
I  138.21] Elapsed: 2:18, vertices: 1055, facets final: 193, pending: 57824, pool: 100
I  143.29] Elapsed: 2:23, vertices: 1080, facets final: 203, pending: 58460, pool: 100
I  148.39] Elapsed: 2:28, vertices: 1100, facets final: 209, pending: 59460, pool: 100
I  153.83] Elapsed: 2:34, vertices: 1123, facets final: 225, pending: 59802, pool: 100
I  158.98] Elapsed: 2:39, vertices: 1146, facets final: 233, pending: 59848, pool: 100
I  164.10] Elapsed: 2:44, vertices: 1159, facets final: 234, pending: 60725, pool: 100
I  169.82] Elapsed: 2:50, vertices: 1180, facets final: 240, pending: 61513, pool: 100
