C applying rule 45.txt for base50.txt
I    5.00] Elapsed: 5.00, vertices: 70, facets final: 17, pending: 7817, pool: 96
I   10.01] Elapsed: 10.01, vertices: 95, facets final: 22, pending: 14022, pool: 122
I   15.02] Elapsed: 15.02, vertices: 115, facets final: 26, pending: 17660, pool: 135
I   20.21] Elapsed: 20.21, vertices: 132, facets final: 31, pending: 20188, pool: 133
I   25.25] Elapsed: 25.25, vertices: 147, facets final: 37, pending: 22550, pool: 141
I   30.41] Elapsed: 30.41, vertices: 161, facets final: 44, pending: 25433, pool: 145
I   35.44] Elapsed: 35.44, vertices: 170, facets final: 50, pending: 26790, pool: 162
I   40.46] Elapsed: 40.46, vertices: 179, facets final: 55, pending: 30755, pool: 173
I   45.48] Elapsed: 45.48, vertices: 187, facets final: 59, pending: 32652, pool: 173
I   50.50] Elapsed: 50.50, vertices: 194, facets final: 61, pending: 34197, pool: 187
I   55.97] Elapsed: 55.97, vertices: 200, facets final: 64, pending: 36965, pool: 192
I   60.97] Elapsed: 1:01, vertices: 206, facets final: 68, pending: 38004, pool: 194
I   66.63] Elapsed: 1:07, vertices: 213, facets final: 71, pending: 39126, pool: 194
I   71.67] Elapsed: 1:12, vertices: 218, facets final: 73, pending: 41968, pool: 198
I   76.78] Elapsed: 1:17, vertices: 224, facets final: 75, pending: 43218, pool: 201
I   82.09] Elapsed: 1:22, vertices: 229, facets final: 79, pending: 43638, pool: 210
I   87.60] Elapsed: 1:28, vertices: 236, facets final: 80, pending: 44601, pool: 206
I   93.56] Elapsed: 1:34, vertices: 242, facets final: 84, pending: 45918, pool: 212
I   99.78] Elapsed: 1:40, vertices: 247, facets final: 91, pending: 46707, pool: 224
I  105.56] Elapsed: 1:46, vertices: 252, facets final: 94, pending: 47820, pool: 224
I  111.16] Elapsed: 1:51, vertices: 256, facets final: 94, pending: 49036, pool: 223
I  116.73] Elapsed: 1:57, vertices: 260, facets final: 94, pending: 50345, pool: 227
I  122.10] Elapsed: 2:02, vertices: 264, facets final: 99, pending: 50686, pool: 234
I  127.40] Elapsed: 2:07, vertices: 267, facets final: 100, pending: 51856, pool: 235
I  133.14] Elapsed: 2:13, vertices: 271, facets final: 102, pending: 52520, pool: 235
I  138.92] Elapsed: 2:19, vertices: 275, facets final: 107, pending: 53753, pool: 240
I  145.40] Elapsed: 2:25, vertices: 279, facets final: 109, pending: 54642, pool: 245
