C applying rule 05.txt for base35.txt
I    5.00] Elapsed: 5.00, vertices: 155, facets final: 21, pending: 15170, pool: 179
I   10.01] Elapsed: 10.01, vertices: 228, facets final: 35, pending: 24093, pool: 199
I   15.05] Elapsed: 15.05, vertices: 280, facets final: 46, pending: 29553, pool: 200
I   20.07] Elapsed: 20.07, vertices: 328, facets final: 50, pending: 32840, pool: 200
I   25.07] Elapsed: 25.07, vertices: 367, facets final: 56, pending: 38337, pool: 200
I   30.14] Elapsed: 30.14, vertices: 401, facets final: 63, pending: 41555, pool: 200
I   35.25] Elapsed: 35.25, vertices: 434, facets final: 66, pending: 44740, pool: 200
I   40.38] Elapsed: 40.38, vertices: 465, facets final: 73, pending: 48717, pool: 200
I   45.46] Elapsed: 45.46, vertices: 495, facets final: 78, pending: 50401, pool: 200
I   50.65] Elapsed: 50.65, vertices: 520, facets final: 80, pending: 51445, pool: 200
I   55.77] Elapsed: 55.77, vertices: 546, facets final: 86, pending: 53215, pool: 200
I   60.91] Elapsed: 1:01, vertices: 571, facets final: 92, pending: 55570, pool: 200
I   66.16] Elapsed: 1:06, vertices: 591, facets final: 94, pending: 57904, pool: 200
I   71.38] Elapsed: 1:11, vertices: 611, facets final: 99, pending: 59312, pool: 200
I   76.57] Elapsed: 1:17, vertices: 630, facets final: 102, pending: 61594, pool: 200
I   81.86] Elapsed: 1:22, vertices: 648, facets final: 104, pending: 63564, pool: 200
I   86.92] Elapsed: 1:27, vertices: 664, facets final: 104, pending: 64850, pool: 200
I   92.05] Elapsed: 1:32, vertices: 681, facets final: 106, pending: 64773, pool: 200
I   97.25] Elapsed: 1:37, vertices: 697, facets final: 108, pending: 65574, pool: 200
I  102.36] Elapsed: 1:42, vertices: 713, facets final: 109, pending: 67464, pool: 200
I  107.47] Elapsed: 1:47, vertices: 726, facets final: 114, pending: 67336, pool: 200
I  112.89] Elapsed: 1:53, vertices: 742, facets final: 117, pending: 68210, pool: 200
I  118.08] Elapsed: 1:58, vertices: 757, facets final: 120, pending: 69775, pool: 200
I  123.12] Elapsed: 2:03, vertices: 768, facets final: 120, pending: 71840, pool: 200
I  128.27] Elapsed: 2:08, vertices: 779, facets final: 120, pending: 71522, pool: 200
I  133.46] Elapsed: 2:13, vertices: 797, facets final: 124, pending: 72126, pool: 200
I  138.84] Elapsed: 2:19, vertices: 810, facets final: 126, pending: 73320, pool: 200
I  143.92] Elapsed: 2:24, vertices: 825, facets final: 126, pending: 74508, pool: 200
I  148.93] Elapsed: 2:29, vertices: 839, facets final: 129, pending: 75088, pool: 200
I  153.98] Elapsed: 2:34, vertices: 851, facets final: 130, pending: 76796, pool: 200
I  159.13] Elapsed: 2:39, vertices: 864, facets final: 131, pending: 77697, pool: 200
I  164.41] Elapsed: 2:44, vertices: 876, facets final: 132, pending: 79145, pool: 200
I  169.46] Elapsed: 2:49, vertices: 889, facets final: 139, pending: 81027, pool: 200
I  175.32] Elapsed: 2:55, vertices: 899, facets final: 141, pending: 82373, pool: 200
I  180.75] Elapsed: 3:01, vertices: 909, facets final: 141, pending: 84096, pool: 200
I  186.56] Elapsed: 3:07, vertices: 922, facets final: 144, pending: 85193, pool: 200
I  191.57] Elapsed: 3:12, vertices: 932, facets final: 145, pending: 85896, pool: 199
I  196.57] Elapsed: 3:17, vertices: 940, facets final: 147, pending: 86742, pool: 200
I  201.97] Elapsed: 3:22, vertices: 952, facets final: 148, pending: 87507, pool: 200
I  207.41] Elapsed: 3:27, vertices: 963, facets final: 148, pending: 87922, pool: 200
I  212.86] Elapsed: 3:33, vertices: 975, facets final: 150, pending: 88651, pool: 200
I  218.16] Elapsed: 3:38, vertices: 988, facets final: 154, pending: 89891, pool: 200
I  223.71] Elapsed: 3:44, vertices: 999, facets final: 154, pending: 90931, pool: 200
I  228.92] Elapsed: 3:49, vertices: 1007, facets final: 155, pending: 91389, pool: 199
I  234.29] Elapsed: 3:54, vertices: 1014, facets final: 157, pending: 91720, pool: 200
I  239.35] Elapsed: 3:59, vertices: 1022, facets final: 159, pending: 92232, pool: 200
I  245.17] Elapsed: 4:05, vertices: 1031, facets final: 159, pending: 92977, pool: 200
I  251.45] Elapsed: 4:11, vertices: 1040, facets final: 161, pending: 93571, pool: 200
I  257.11] Elapsed: 4:17, vertices: 1048, facets final: 164, pending: 94474, pool: 200
I  262.22] Elapsed: 4:22, vertices: 1059, facets final: 167, pending: 94331, pool: 200
I  267.27] Elapsed: 4:27, vertices: 1066, facets final: 167, pending: 94955, pool: 200
I  272.31] Elapsed: 4:32, vertices: 1076, facets final: 170, pending: 96204, pool: 200
I  277.34] Elapsed: 4:37, vertices: 1083, facets final: 170, pending: 97487, pool: 200
I  282.69] Elapsed: 4:43, vertices: 1089, facets final: 170, pending: 98189, pool: 200
I  287.74] Elapsed: 4:48, vertices: 1101, facets final: 172, pending: 98609, pool: 200
I  293.18] Elapsed: 4:53, vertices: 1112, facets final: 175, pending: 98802, pool: 200
I  298.33] Elapsed: 4:58, vertices: 1122, facets final: 177, pending: 99711, pool: 200
I  304.08] Elapsed: 5:04, vertices: 1134, facets final: 182, pending: 100700, pool: 200
I  309.47] Elapsed: 5:09, vertices: 1143, facets final: 183, pending: 101481, pool: 200
I  314.63] Elapsed: 5:15, vertices: 1153, facets final: 183, pending: 101323, pool: 200
I  319.86] Elapsed: 5:20, vertices: 1162, facets final: 184, pending: 102533, pool: 200
I  325.62] Elapsed: 5:26, vertices: 1170, facets final: 185, pending: 103287, pool: 200
I  330.86] Elapsed: 5:31, vertices: 1180, facets final: 186, pending: 104899, pool: 200
I  336.19] Elapsed: 5:36, vertices: 1191, facets final: 187, pending: 104810, pool: 200
I  341.19] Elapsed: 5:41, vertices: 1202, facets final: 189, pending: 105297, pool: 200
I  346.33] Elapsed: 5:46, vertices: 1211, facets final: 190, pending: 106094, pool: 200
I  351.52] Elapsed: 5:52, vertices: 1220, facets final: 192, pending: 107333, pool: 200
I  356.98] Elapsed: 5:57, vertices: 1231, facets final: 196, pending: 108635, pool: 200
I  362.26] Elapsed: 6:02, vertices: 1241, facets final: 197, pending: 109334, pool: 200
I  367.46] Elapsed: 6:07, vertices: 1249, facets final: 199, pending: 110317, pool: 200
I  372.77] Elapsed: 6:13, vertices: 1259, facets final: 199, pending: 110535, pool: 200
I  378.38] Elapsed: 6:18, vertices: 1265, facets final: 200, pending: 111890, pool: 200
I  383.88] Elapsed: 6:24, vertices: 1273, facets final: 201, pending: 113030, pool: 200
I  389.05] Elapsed: 6:29, vertices: 1281, facets final: 203, pending: 113690, pool: 200
I  394.87] Elapsed: 6:35, vertices: 1289, facets final: 203, pending: 114351, pool: 200
I  399.99] Elapsed: 6:40, vertices: 1296, facets final: 203, pending: 115705, pool: 200
I  405.48] Elapsed: 6:45, vertices: 1307, facets final: 204, pending: 115656, pool: 200
I  410.87] Elapsed: 6:51, vertices: 1316, facets final: 204, pending: 115823, pool: 200
I  416.91] Elapsed: 6:57, vertices: 1324, facets final: 204, pending: 116645, pool: 200
I  422.50] Elapsed: 7:03, vertices: 1332, facets final: 206, pending: 118225, pool: 200
I  427.61] Elapsed: 7:08, vertices: 1338, facets final: 206, pending: 118447, pool: 200
I  432.79] Elapsed: 7:13, vertices: 1346, facets final: 206, pending: 119075, pool: 200
I  437.96] Elapsed: 7:18, vertices: 1352, facets final: 206, pending: 119829, pool: 200
I  443.17] Elapsed: 7:23, vertices: 1362, facets final: 207, pending: 119677, pool: 200
I  448.84] Elapsed: 7:29, vertices: 1373, facets final: 211, pending: 121012, pool: 200
I  454.01] Elapsed: 7:34, vertices: 1381, facets final: 211, pending: 121960, pool: 200
I  459.08] Elapsed: 7:39, vertices: 1391, facets final: 211, pending: 122131, pool: 200
I  465.83] Elapsed: 7:46, vertices: 1397, facets final: 212, pending: 122431, pool: 200
I  471.33] Elapsed: 7:51, vertices: 1402, facets final: 214, pending: 123383, pool: 200
I  476.71] Elapsed: 7:57, vertices: 1414, facets final: 215, pending: 123291, pool: 200
I  483.01] Elapsed: 8:03, vertices: 1421, facets final: 215, pending: 124371, pool: 200
I  488.22] Elapsed: 8:08, vertices: 1429, facets final: 215, pending: 125603, pool: 200
I  493.45] Elapsed: 8:13, vertices: 1438, facets final: 217, pending: 125905, pool: 200
I  498.86] Elapsed: 8:19, vertices: 1444, facets final: 217, pending: 125748, pool: 200
I  504.78] Elapsed: 8:25, vertices: 1449, facets final: 218, pending: 127143, pool: 200
I  509.86] Elapsed: 8:30, vertices: 1456, facets final: 220, pending: 127847, pool: 199
I  516.62] Elapsed: 8:37, vertices: 1461, facets final: 222, pending: 128178, pool: 200
I  521.62] Elapsed: 8:42, vertices: 1470, facets final: 223, pending: 128891, pool: 200
I  527.45] Elapsed: 8:47, vertices: 1475, facets final: 224, pending: 129030, pool: 200
I  533.23] Elapsed: 8:53, vertices: 1482, facets final: 225, pending: 130182, pool: 200
I  538.87] Elapsed: 8:59, vertices: 1487, facets final: 228, pending: 130472, pool: 200
I  544.47] Elapsed: 9:04, vertices: 1494, facets final: 229, pending: 130404, pool: 200
I  549.74] Elapsed: 9:10, vertices: 1499, facets final: 230, pending: 131379, pool: 200
I  556.00] Elapsed: 9:16, vertices: 1505, facets final: 231, pending: 132104, pool: 200
I  561.80] Elapsed: 9:22, vertices: 1514, facets final: 235, pending: 132563, pool: 200
I  567.44] Elapsed: 9:27, vertices: 1518, facets final: 235, pending: 133307, pool: 200
I  572.69] Elapsed: 9:33, vertices: 1522, facets final: 236, pending: 134201, pool: 200
I  577.73] Elapsed: 9:38, vertices: 1530, facets final: 237, pending: 134269, pool: 200
I  583.58] Elapsed: 9:44, vertices: 1534, facets final: 237, pending: 135180, pool: 200
I  589.98] Elapsed: 9:50, vertices: 1539, facets final: 238, pending: 135343, pool: 200
I  595.60] Elapsed: 9:56, vertices: 1544, facets final: 238, pending: 135853, pool: 200
I  602.84] Elapsed: 10:03, vertices: 1550, facets final: 238, pending: 135996, pool: 200
I  610.63] Elapsed: 10:11, vertices: 1557, facets final: 238, pending: 135713, pool: 200
I  616.33] Elapsed: 10:16, vertices: 1566, facets final: 239, pending: 135888, pool: 200
I  621.83] Elapsed: 10:22, vertices: 1573, facets final: 240, pending: 135592, pool: 200
recalculate_facet: numerical instability at facet 29, coord 2 (1.44255e-06)
recalculate_facet: numerical instability at facet 29, coord 3 (-1.48052e-06)
recalculate_facet: numerical instability at facet 29, coord 5 (-1.50127e-06)
recalculate_facet: numerical instability at facet 29, coord 10 (-1.39911e-06)
I  627.30] Elapsed: 10:27, vertices: 1579, facets final: 243, pending: 135766, pool: 200
I  632.38] Elapsed: 10:32, vertices: 1583, facets final: 243, pending: 136036, pool: 200
I  637.74] Elapsed: 10:38, vertices: 1588, facets final: 243, pending: 136707, pool: 200
I  643.49] Elapsed: 10:43, vertices: 1593, facets final: 244, pending: 136440, pool: 200
I  650.90] Elapsed: 10:51, vertices: 1599, facets final: 244, pending: 137111, pool: 200
I  656.57] Elapsed: 10:57, vertices: 1605, facets final: 244, pending: 137548, pool: 200
I  662.65] Elapsed: 11:03, vertices: 1612, facets final: 246, pending: 136801, pool: 200
I  670.08] Elapsed: 11:10, vertices: 1618, facets final: 247, pending: 137277, pool: 200
I  676.58] Elapsed: 11:17, vertices: 1623, facets final: 247, pending: 137562, pool: 200
I  681.85] Elapsed: 11:22, vertices: 1631, facets final: 247, pending: 137835, pool: 200
I  687.45] Elapsed: 11:27, vertices: 1635, facets final: 247, pending: 137813, pool: 200
I  692.81] Elapsed: 11:33, vertices: 1642, facets final: 248, pending: 138762, pool: 200
I  697.95] Elapsed: 11:38, vertices: 1648, facets final: 249, pending: 138926, pool: 200
I  703.36] Elapsed: 11:43, vertices: 1654, facets final: 250, pending: 139839, pool: 200
I  709.16] Elapsed: 11:49, vertices: 1661, facets final: 251, pending: 140270, pool: 200
I  714.51] Elapsed: 11:55, vertices: 1668, facets final: 252, pending: 141132, pool: 200
I  719.69] Elapsed: 12:00, vertices: 1675, facets final: 255, pending: 141317, pool: 200
I  725.06] Elapsed: 12:05, vertices: 1680, facets final: 255, pending: 141034, pool: 200
I  730.73] Elapsed: 12:11, vertices: 1686, facets final: 258, pending: 141151, pool: 200
I  736.03] Elapsed: 12:16, vertices: 1690, facets final: 258, pending: 141514, pool: 200
I  742.08] Elapsed: 12:22, vertices: 1695, facets final: 260, pending: 141680, pool: 200
I  747.24] Elapsed: 12:27, vertices: 1700, facets final: 262, pending: 142467, pool: 200
I  753.40] Elapsed: 12:33, vertices: 1708, facets final: 265, pending: 143844, pool: 200
I  759.67] Elapsed: 12:40, vertices: 1713, facets final: 265, pending: 143990, pool: 200
I  765.15] Elapsed: 12:45, vertices: 1717, facets final: 267, pending: 144429, pool: 200
I  770.54] Elapsed: 12:51, vertices: 1725, facets final: 269, pending: 144052, pool: 200
I  775.97] Elapsed: 12:56, vertices: 1731, facets final: 269, pending: 144885, pool: 200
I  780.99] Elapsed: 13:01, vertices: 1738, facets final: 272, pending: 144977, pool: 200
I  786.06] Elapsed: 13:06, vertices: 1745, facets final: 273, pending: 145495, pool: 200
I  791.06] Elapsed: 13:11, vertices: 1750, facets final: 274, pending: 146260, pool: 200
I  797.55] Elapsed: 13:18, vertices: 1756, facets final: 276, pending: 146792, pool: 200
I  802.74] Elapsed: 13:23, vertices: 1762, facets final: 277, pending: 146453, pool: 200
I  808.45] Elapsed: 13:28, vertices: 1769, facets final: 277, pending: 146759, pool: 200
I  813.66] Elapsed: 13:34, vertices: 1774, facets final: 277, pending: 147563, pool: 200
I  818.73] Elapsed: 13:39, vertices: 1779, facets final: 278, pending: 146939, pool: 200
I  823.95] Elapsed: 13:44, vertices: 1783, facets final: 280, pending: 147488, pool: 200
I  830.96] Elapsed: 13:51, vertices: 1788, facets final: 281, pending: 148525, pool: 200
I  836.21] Elapsed: 13:56, vertices: 1792, facets final: 282, pending: 149055, pool: 200
I  842.11] Elapsed: 14:02, vertices: 1799, facets final: 282, pending: 148904, pool: 200
I  847.73] Elapsed: 14:08, vertices: 1804, facets final: 283, pending: 149408, pool: 200
I  853.18] Elapsed: 14:13, vertices: 1809, facets final: 283, pending: 150358, pool: 200
I  858.97] Elapsed: 14:19, vertices: 1813, facets final: 283, pending: 150605, pool: 200
I  864.27] Elapsed: 14:24, vertices: 1820, facets final: 285, pending: 151251, pool: 200
I  869.32] Elapsed: 14:29, vertices: 1824, facets final: 288, pending: 151610, pool: 200
I  875.08] Elapsed: 14:35, vertices: 1829, facets final: 289, pending: 151203, pool: 200
I  880.36] Elapsed: 14:40, vertices: 1834, facets final: 290, pending: 150959, pool: 200
I  886.28] Elapsed: 14:46, vertices: 1838, facets final: 290, pending: 151326, pool: 200
