C copy string: r=c:ab;ar,br,c,dr;ar,br,cr,d; ineq: base20.txt
I    5.00] Elapsed: 5.00, vertices: 205, facets final: 24, pending: 11269, pool: 285
I   10.04] Elapsed: 10.04, vertices: 293, facets final: 37, pending: 15317, pool: 300
I   15.08] Elapsed: 15.08, vertices: 364, facets final: 38, pending: 18852, pool: 298
I   20.11] Elapsed: 20.11, vertices: 422, facets final: 48, pending: 21690, pool: 300
I   25.18] Elapsed: 25.18, vertices: 473, facets final: 58, pending: 23435, pool: 300
I   30.20] Elapsed: 30.20, vertices: 521, facets final: 63, pending: 25712, pool: 300
I   35.23] Elapsed: 35.23, vertices: 565, facets final: 66, pending: 27391, pool: 300
I   40.32] Elapsed: 40.32, vertices: 609, facets final: 72, pending: 29498, pool: 299
I   45.36] Elapsed: 45.36, vertices: 648, facets final: 80, pending: 31152, pool: 299
I   50.38] Elapsed: 50.38, vertices: 687, facets final: 91, pending: 31674, pool: 298
I   55.49] Elapsed: 55.49, vertices: 724, facets final: 96, pending: 32468, pool: 300
I   60.54] Elapsed: 1:01, vertices: 759, facets final: 103, pending: 33419, pool: 300
I   65.57] Elapsed: 1:06, vertices: 794, facets final: 112, pending: 33925, pool: 300
I   70.58] Elapsed: 1:11, vertices: 827, facets final: 119, pending: 34497, pool: 300
I   75.65] Elapsed: 1:16, vertices: 861, facets final: 125, pending: 35152, pool: 300
I   80.70] Elapsed: 1:21, vertices: 895, facets final: 136, pending: 36235, pool: 300
I   85.74] Elapsed: 1:26, vertices: 926, facets final: 142, pending: 37434, pool: 300
I   90.83] Elapsed: 1:31, vertices: 957, facets final: 146, pending: 38080, pool: 300
I   95.96] Elapsed: 1:36, vertices: 988, facets final: 151, pending: 38716, pool: 300
I  101.10] Elapsed: 1:41, vertices: 1014, facets final: 160, pending: 39138, pool: 300
I  106.22] Elapsed: 1:46, vertices: 1040, facets final: 167, pending: 39538, pool: 300
I  111.27] Elapsed: 1:51, vertices: 1067, facets final: 169, pending: 40454, pool: 300
I  116.41] Elapsed: 1:56, vertices: 1093, facets final: 179, pending: 41075, pool: 300
I  121.47] Elapsed: 2:01, vertices: 1117, facets final: 183, pending: 41036, pool: 300
I  126.60] Elapsed: 2:07, vertices: 1144, facets final: 193, pending: 41345, pool: 300
I  131.62] Elapsed: 2:12, vertices: 1171, facets final: 204, pending: 41822, pool: 300
I  136.75] Elapsed: 2:17, vertices: 1199, facets final: 211, pending: 42210, pool: 300
I  141.95] Elapsed: 2:22, vertices: 1226, facets final: 220, pending: 42784, pool: 300
I  147.01] Elapsed: 2:27, vertices: 1253, facets final: 227, pending: 43091, pool: 300
I  152.15] Elapsed: 2:32, vertices: 1279, facets final: 232, pending: 43284, pool: 300
I  157.15] Elapsed: 2:37, vertices: 1302, facets final: 244, pending: 43600, pool: 300
I  162.26] Elapsed: 2:42, vertices: 1327, facets final: 253, pending: 44024, pool: 300
I  167.38] Elapsed: 2:47, vertices: 1354, facets final: 262, pending: 44277, pool: 300
I  172.38] Elapsed: 2:52, vertices: 1378, facets final: 267, pending: 44409, pool: 300
I  177.48] Elapsed: 2:57, vertices: 1402, facets final: 275, pending: 44590, pool: 300
