C copy string: rs=cd:ab;a,d,r,s;ac,bc,cr,s; ineq: base20.txt
I    5.02] Elapsed: 5.02, vertices: 158, facets final: 26, pending: 15311, pool: 255
I   10.12] Elapsed: 10.12, vertices: 212, facets final: 40, pending: 21569, pool: 295
I   15.12] Elapsed: 15.12, vertices: 256, facets final: 45, pending: 24638, pool: 299
I   20.20] Elapsed: 20.20, vertices: 297, facets final: 53, pending: 26852, pool: 300
I   25.20] Elapsed: 25.20, vertices: 337, facets final: 60, pending: 27957, pool: 299
I   30.30] Elapsed: 30.30, vertices: 376, facets final: 68, pending: 30833, pool: 299
I   35.35] Elapsed: 35.35, vertices: 411, facets final: 77, pending: 32705, pool: 300
I   40.44] Elapsed: 40.44, vertices: 445, facets final: 82, pending: 34482, pool: 298
I   45.46] Elapsed: 45.46, vertices: 479, facets final: 93, pending: 34897, pool: 300
I   50.46] Elapsed: 50.46, vertices: 511, facets final: 101, pending: 37499, pool: 300
I   55.49] Elapsed: 55.49, vertices: 539, facets final: 111, pending: 39500, pool: 300
I   60.62] Elapsed: 1:01, vertices: 568, facets final: 118, pending: 40266, pool: 300
I   65.64] Elapsed: 1:06, vertices: 596, facets final: 127, pending: 41372, pool: 300
I   70.82] Elapsed: 1:11, vertices: 623, facets final: 140, pending: 42326, pool: 300
I   75.86] Elapsed: 1:16, vertices: 648, facets final: 148, pending: 43231, pool: 300
I   80.98] Elapsed: 1:21, vertices: 676, facets final: 157, pending: 44334, pool: 300
I   86.03] Elapsed: 1:26, vertices: 699, facets final: 166, pending: 45623, pool: 299
I   91.19] Elapsed: 1:31, vertices: 722, facets final: 179, pending: 46580, pool: 300
I   96.19] Elapsed: 1:36, vertices: 746, facets final: 188, pending: 47854, pool: 299
I  101.23] Elapsed: 1:41, vertices: 769, facets final: 191, pending: 48675, pool: 299
I  106.40] Elapsed: 1:46, vertices: 791, facets final: 197, pending: 50153, pool: 299
I  111.61] Elapsed: 1:52, vertices: 813, facets final: 208, pending: 51486, pool: 300
I  116.68] Elapsed: 1:57, vertices: 834, facets final: 218, pending: 52870, pool: 300
I  121.80] Elapsed: 2:02, vertices: 854, facets final: 224, pending: 53494, pool: 300
I  126.97] Elapsed: 2:07, vertices: 876, facets final: 237, pending: 53900, pool: 299
I  132.18] Elapsed: 2:12, vertices: 897, facets final: 245, pending: 54863, pool: 300
I  137.30] Elapsed: 2:17, vertices: 917, facets final: 253, pending: 55104, pool: 299
I  142.44] Elapsed: 2:22, vertices: 936, facets final: 264, pending: 55677, pool: 300
I  147.56] Elapsed: 2:28, vertices: 957, facets final: 279, pending: 55949, pool: 300
I  152.68] Elapsed: 2:33, vertices: 978, facets final: 287, pending: 56536, pool: 300
I  157.69] Elapsed: 2:38, vertices: 999, facets final: 300, pending: 56933, pool: 300
I  162.92] Elapsed: 2:43, vertices: 1019, facets final: 309, pending: 57784, pool: 300
I  168.23] Elapsed: 2:48, vertices: 1037, facets final: 312, pending: 58032, pool: 300
I  173.23] Elapsed: 2:53, vertices: 1055, facets final: 317, pending: 57718, pool: 299
I  178.23] Elapsed: 2:58, vertices: 1073, facets final: 322, pending: 58173, pool: 298
