C copy string: rs=cd:ab;tu=ar:bcs;vw=bt:acr
I  809.16] Elapsed: 13:29, vertices: 65, facets final: 37, pending: 820
I  819.81] Elapsed: 13:40, vertices: 67, facets final: 38, pending: 877
I  826.31] Elapsed: 13:46, vertices: 68, facets final: 39, pending: 885
I  841.02] Elapsed: 14:01, vertices: 69, facets final: 39, pending: 895
I  851.66] Elapsed: 14:12, vertices: 70, facets final: 39, pending: 883
I  858.57] Elapsed: 14:19, vertices: 71, facets final: 39, pending: 890
I  868.35] Elapsed: 14:28, vertices: 72, facets final: 39, pending: 888
I  877.45] Elapsed: 14:37, vertices: 73, facets final: 40, pending: 915
I  883.82] Elapsed: 14:44, vertices: 73, facets final: 41, pending: 914
I  890.52] Elapsed: 14:51, vertices: 73, facets final: 42, pending: 913
I  899.77] Elapsed: 15:00, vertices: 73, facets final: 43, pending: 912
I  912.59] Elapsed: 15:13, vertices: 73, facets final: 43, pending: 912
I  920.53] Elapsed: 15:21, vertices: 74, facets final: 44, pending: 938
I  927.74] Elapsed: 15:28, vertices: 75, facets final: 44, pending: 968
I  941.74] Elapsed: 15:42, vertices: 77, facets final: 44, pending: 1016
I  953.58] Elapsed: 15:54, vertices: 78, facets final: 45, pending: 1019
I  961.48] Elapsed: 16:01, vertices: 79, facets final: 46, pending: 1013
I  969.58] Elapsed: 16:10, vertices: 79, facets final: 46, pending: 1013
I  982.45] Elapsed: 16:22, vertices: 81, facets final: 46, pending: 1067
I  992.90] Elapsed: 16:33, vertices: 82, facets final: 46, pending: 1087
I  998.55] Elapsed: 16:39, vertices: 83, facets final: 46, pending: 1119
I 1006.74] Elapsed: 16:47, vertices: 84, facets final: 46, pending: 1139
I 1018.98] Elapsed: 16:59, vertices: 85, facets final: 47, pending: 1161
I 1027.44] Elapsed: 17:07, vertices: 86, facets final: 48, pending: 1173
I 1036.88] Elapsed: 17:17, vertices: 86, facets final: 49, pending: 1172
I 1044.24] Elapsed: 17:24, vertices: 87, facets final: 50, pending: 1188
I 1051.96] Elapsed: 17:32, vertices: 87, facets final: 50, pending: 1188
I 1058.24] Elapsed: 17:38, vertices: 89, facets final: 50, pending: 1224
I 1063.33] Elapsed: 17:43, vertices: 90, facets final: 50, pending: 1239
I 1074.60] Elapsed: 17:55, vertices: 91, facets final: 50, pending: 1248
I 1091.54] Elapsed: 18:12, vertices: 92, facets final: 51, pending: 1226
I 1098.62] Elapsed: 18:19, vertices: 93, facets final: 52, pending: 1229
I 1109.66] Elapsed: 18:30, vertices: 94, facets final: 52, pending: 1243
I 1120.72] Elapsed: 18:41, vertices: 95, facets final: 52, pending: 1259
I 1128.95] Elapsed: 18:49, vertices: 96, facets final: 52, pending: 1261
I 1137.16] Elapsed: 18:57, vertices: 97, facets final: 53, pending: 1273
I 1144.00] Elapsed: 19:04, vertices: 97, facets final: 53, pending: 1273
I 1156.48] Elapsed: 19:16, vertices: 99, facets final: 53, pending: 1334
I 1167.27] Elapsed: 19:27, vertices: 100, facets final: 54, pending: 1365
I 1172.02] recalculating facets...
I 1176.42] Elapsed: 19:36, vertices: 101, facets final: 54, pending: 1389
I 1185.24] Elapsed: 19:45, vertices: 102, facets final: 54, pending: 1410
I 1191.31] Elapsed: 19:51, vertices: 103, facets final: 54, pending: 1427
I 1200.45] Elapsed: 20:00, vertices: 104, facets final: 55, pending: 1435
I 1217.03] Elapsed: 20:17, vertices: 106, facets final: 55, pending: 1494
I 1230.22] Elapsed: 20:30, vertices: 107, facets final: 55, pending: 1508
I 1242.74] Elapsed: 20:43, vertices: 109, facets final: 55, pending: 1538
I 1248.70] Elapsed: 20:49, vertices: 110, facets final: 55, pending: 1523
I 1255.43] Elapsed: 20:55, vertices: 111, facets final: 55, pending: 1538
I 1263.41] Elapsed: 21:03, vertices: 112, facets final: 55, pending: 1574
I 1275.06] Elapsed: 21:15, vertices: 113, facets final: 56, pending: 1641
I 1286.79] Elapsed: 21:27, vertices: 116, facets final: 56, pending: 1746
I 1299.06] Elapsed: 21:39, vertices: 118, facets final: 56, pending: 1749
I 1307.69] Elapsed: 21:48, vertices: 119, facets final: 56, pending: 1779
I 1313.60] Elapsed: 21:54, vertices: 121, facets final: 56, pending: 1788
I 1324.12] Elapsed: 22:04, vertices: 122, facets final: 58, pending: 1790
I 1330.94] Elapsed: 22:11, vertices: 122, facets final: 58, pending: 1790
I 1336.06] Elapsed: 22:16, vertices: 123, facets final: 58, pending: 1810
I 1348.27] Elapsed: 22:28, vertices: 124, facets final: 58, pending: 1787
I 1356.91] Elapsed: 22:37, vertices: 125, facets final: 58, pending: 1783
I 1370.12] Elapsed: 22:50, vertices: 127, facets final: 58, pending: 1780
I 1379.30] Elapsed: 22:59, vertices: 128, facets final: 58, pending: 1875
I 1388.02] Elapsed: 23:08, vertices: 129, facets final: 58, pending: 1928
I 1394.11] Elapsed: 23:14, vertices: 131, facets final: 58, pending: 1930
I 1402.78] Elapsed: 23:23, vertices: 133, facets final: 58, pending: 1915
Warning: numerical instability (primal simplex, phase II)
I 1418.88] Elapsed: 23:39, vertices: 136, facets final: 59, pending: 1924
I 1427.92] Elapsed: 23:48, vertices: 137, facets final: 59, pending: 1913
I 1439.88] Elapsed: 24:00, vertices: 139, facets final: 59, pending: 1962
I 1447.81] Elapsed: 24:08, vertices: 140, facets final: 59, pending: 1972
I 1462.67] Elapsed: 24:23, vertices: 142, facets final: 60, pending: 1987
I 1469.73] Elapsed: 24:30, vertices: 142, facets final: 60, pending: 1987
I 1475.05] Elapsed: 24:35, vertices: 146, facets final: 60, pending: 2054
I 1485.41] Elapsed: 24:45, vertices: 148, facets final: 60, pending: 2088
I 1494.12] Elapsed: 24:54, vertices: 149, facets final: 60, pending: 2153
I 1506.97] Elapsed: 25:07, vertices: 151, facets final: 61, pending: 2090
I 1513.87] Elapsed: 25:14, vertices: 151, facets final: 62, pending: 2089
I 1520.98] Elapsed: 25:21, vertices: 153, facets final: 62, pending: 2136
I 1526.72] Elapsed: 25:27, vertices: 154, facets final: 62, pending: 2152
I 1535.92] Elapsed: 25:36, vertices: 156, facets final: 62, pending: 2099
I 1543.69] Elapsed: 25:44, vertices: 157, facets final: 62, pending: 2094
I 1549.60] Elapsed: 25:50, vertices: 159, facets final: 63, pending: 2112
I 1560.86] Elapsed: 26:01, vertices: 159, facets final: 63, pending: 2112
I 1571.93] Elapsed: 26:12, vertices: 160, facets final: 63, pending: 2135
I 1580.46] Elapsed: 26:20, vertices: 161, facets final: 63, pending: 2163
I 1589.91] Elapsed: 26:30, vertices: 162, facets final: 63, pending: 2168
I 1596.09] Elapsed: 26:36, vertices: 163, facets final: 63, pending: 2163
I 1604.55] Elapsed: 26:45, vertices: 165, facets final: 63, pending: 2172
I 1610.88] Elapsed: 26:51, vertices: 167, facets final: 63, pending: 2236
I 1617.70] Elapsed: 26:58, vertices: 169, facets final: 63, pending: 2282
I 1625.33] Elapsed: 27:05, vertices: 172, facets final: 64, pending: 2256
I 1631.10] Elapsed: 27:11, vertices: 174, facets final: 64, pending: 2244
I 1642.04] Elapsed: 27:22, vertices: 175, facets final: 64, pending: 2241
I 1648.75] Elapsed: 27:29, vertices: 176, facets final: 64, pending: 2270
I 1654.36] Elapsed: 27:34, vertices: 178, facets final: 64, pending: 2251
I 1659.92] Elapsed: 27:40, vertices: 179, facets final: 64, pending: 2231
I 1673.90] Elapsed: 27:54, vertices: 181, facets final: 64, pending: 2214
I 1682.61] Elapsed: 28:03, vertices: 182, facets final: 64, pending: 2220
I 1689.04] Elapsed: 28:09, vertices: 184, facets final: 64, pending: 2254
I 1695.30] Elapsed: 28:15, vertices: 185, facets final: 64, pending: 2286
I 1702.11] Elapsed: 28:22, vertices: 186, facets final: 64, pending: 2286
Warning: numerical instability (primal simplex, phase II)
I 1713.89] Elapsed: 28:34, vertices: 187, facets final: 65, pending: 2288
I 1718.98] Elapsed: 28:39, vertices: 187, facets final: 65, pending: 2288
I 1725.93] Elapsed: 28:46, vertices: 188, facets final: 65, pending: 2285
I 1739.40] Elapsed: 28:59, vertices: 190, facets final: 65, pending: 2334
I 1749.47] Elapsed: 29:09, vertices: 191, facets final: 66, pending: 2304
I 1758.29] Elapsed: 29:18, vertices: 192, facets final: 67, pending: 2328
I 1765.10] Elapsed: 29:25, vertices: 193, facets final: 67, pending: 2336
I 1778.07] Elapsed: 29:38, vertices: 195, facets final: 67, pending: 2354
