# Entropy inequalities by Dougherty-Freiling-Zeger
# First 11 numbers are the coefficients,
#   then the copy string used
#   then the id of the inequality
#   then the indication whether is has been superseded
#
# The coordinates are:
# [a,b,c,d]  (a,b|c) (a,c|b) (b,c|a)  (a,b|d) (a,d|b) (b,d|a)
#            (c,d|a) (c,d|b) (c,d) (a,b|cd)
#
1, 1,1,1, 0,0,0, 0,0,0,0, r=c:ab, dfz:0:0, S
5, 4,4,4, 0,3,1, 0,0,0,0, rs=cd:ab;t=a:bcs;u=(cs):abrt, dfz:54:54, S
8, 9,7,3, 8,8,0, 0,0,0,0, rs=cd:ab;t=c:as;u=c:bst, dfz:55:55
3, 0,0,0, 6,2,2, 0,0,0,0, rs=ac:bd;t=a:br;u=d:abrt, dfz:56:56
9, 0,15,5, 8,15,3, 0,0,0,0, rs=cd:ab;t=c:abrs;u=a:bdst, dfz:28:57
3, 1,5,4, 1,1,0, 0,0,0,0, rs=cd:ab;t=a:bcr;u=a:bdst, dfz:58:58
7, 9,12,2, 0,4,3, 0,0,0,0, rs=cd:ab;t=a:bcr;u=b:adst, dfz:59:59
3, 0,0,0, 2,6,2, 0,0,0,0, rs=ac:bd;t=a:dr;u=b:adrt, dfz:60:60
6, 0,9,4, 5,10,2, 0,0,0,0, rs=cd:ab;t=c:abrs;u=a:bdst, dfz:28:61
6, 1,13,13, 0,2,2, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=c:abrst, dfz:62:62, S
10, 13,16,3, 0,5,5, 0,0,0,0, rs=cd:ab;t=a:bcr;u=d:abst, dfz:63:63
4, 1,9,6, 2,3,0, 0,0,0,0, rs=cd:ab;t=a:bcr;u=a:bdst, dfz:58:64
9, 10,8,4, 6,7,0, 0,0,0,0, rs=cd:ab;t=c:as;u=s:act, dfz:65:65
10, 1,22,22, 0,9,9, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(dr):abt, dfz:66:66, S
5, 0,0,0, 15,15,1, 0,0,0,0, rs=ac:bd;t=(ar):bd;u=(ar):bdt, dfz:67:67
4, 4,11,1, 0,4,4, 0,0,0,0, rs=cd:ab;t=a:bcr;u=s:abcdt, dfz:68:68
7, 9,12,2, 0,3,4, 0,0,0,0, rs=cd:ab;t=a:bcr;u=a:bdst, dfz:58:69
4, 5,8,1, 0,3,2, 0,0,0,0, rs=cd:ab;t=a:bcr;u=b:adst, dfz:59:70
6, 6,5,5, 0,3,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=c:abrt, dfz:71:71, S
7, 5,10,3, 7,6,0, 0,0,0,0, rs=cd:ab;t=c:as;u=r:act, dfz:72:72
13, 11,16,5, 13,10,0, 0,0,0,0, rs=cd:ab;t=c:as;u=s:act, dfz:65:73
6, 8,4,3, 6,11,0, 0,0,0,0, rs=cd:ab;t=c:as;u=c:bdt, dfz:74:74, S
